bluetooth_dsr,wifi_dsr,cellular_dsr
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,100.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,75.0,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
100.0,56.25,80.11
