benign.location_x,forward.location_x,reverse.location_x
-87.27606201171875,-87.27606201171875,-87.27606201171875
-87.27606201171875,-87.27606201171875,-87.27606201171875
-87.27606201171875,-87.27606201171875,-87.27606201171875
-87.27606201171875,-87.27606201171875,-87.27606201171875
-87.27606201171875,-87.27606201171875,-87.27606201171875
-87.27606201171875,-87.27606201171875,-87.27606201171875
-87.27606201171875,-87.27606201171875,-87.27606201171875
-87.27606201171875,-87.27606201171875,-87.27606201171875
-87.27606201171875,-87.27606201171875,-87.27606201171875
-87.27606201171875,-87.27606201171875,-87.27606201171875
-87.27606201171875,-87.27606201171875,-87.27606201171875
-87.27606201171875,-87.27606201171875,-87.27606201171875
-87.27606201171875,-87.27606201171875,-87.27606201171875
-87.27606201171875,-87.27606201171875,-87.27606201171875
-87.27606201171875,-87.27606201171875,-87.27606201171875
-87.27606201171875,-87.27606201171875,-87.27606201171875
-87.27606201171875,-87.27606201171875,-87.27606201171875
-87.27409362792969,-87.27606201171875,-87.27606201171875
-87.25995635986328,-87.27606201171875,-87.27606201171875
-87.2289810180664,-87.2692642211914,-87.27228546142578
-87.18388366699219,-87.23521423339844,-87.25679779052734
-87.13875579833984,-87.19534301757812,-87.23114013671875
-87.09127044677734,-87.15768432617188,-87.19860076904297
-87.03846740722656,-87.11563110351562,-87.15962982177734
-86.97914123535156,-87.0644302368164,-87.11912536621094
-86.91693878173828,-87.01525115966797,-87.07463836669922
-86.85509490966797,-86.95929718017578,-87.02516174316406
-86.78819274902344,-86.90270233154297,-86.97203826904297
-86.71170043945312,-86.8399887084961,-86.91584777832031
-86.62648010253906,-86.760498046875,-86.85813903808594
-86.49979400634766,-86.66029357910156,-86.79273223876953
-86.3763656616211,-86.57405090332031,-86.69709777832031
-86.271240234375,-86.48550415039062,-86.61257934570312
-86.15337371826172,-86.38641357421875,-86.51506042480469
-86.03093719482422,-86.28489685058594,-86.41759490966797
-85.8888168334961,-86.16825866699219,-86.32290649414062
-85.74335479736328,-86.05706787109375,-86.21885681152344
-85.60626983642578,-85.93126678466797,-86.11866760253906
-85.46087646484375,-85.79743194580078,-86.01227569580078
-85.3263168334961,-85.67649841308594,-85.90507507324219
-85.18523406982422,-85.55052185058594,-85.7919921875
-85.0297622680664,-85.4254379272461,-85.67550659179688
