benign_locationx,benign_locationy,replay_locationx,replay_locationy
-66.88886260986328,-41.81945037841797,-103.17900085449219,-14.434906959533691
-66.88882446289062,-41.81946563720703,-103.17900085449219,-14.434906959533691
-66.88880157470703,-41.81946563720703,-103.17900085449219,-14.434906959533691
-66.8886489868164,-41.81942367553711,-103.17900085449219,-14.434906959533691
-66.88861846923828,-41.81942367553711,-103.17900085449219,-14.434906959533691
-66.88848114013672,-41.8194465637207,-103.17900085449219,-14.434906959533691
-66.88844299316406,-41.8194580078125,-103.17900085449219,-14.434906959533691
-66.88866424560547,-41.81948471069336,-103.17900085449219,-14.434906959533691
-66.8888168334961,-41.81946563720703,-103.17900085449219,-14.434906959533691
-66.88893127441406,-41.81944274902344,-103.17900085449219,-14.434906959533691
-66.88916015625,-41.81943130493164,-103.17900085449219,-14.434906959533691
-66.88907623291016,-41.81945037841797,-103.17900085449219,-14.434906959533691
-66.88916778564453,-41.819427490234375,-103.17802429199219,-14.46601676940918
-66.88914489746094,-41.819427490234375,-103.17465209960938,-14.583643913269043
-66.8892822265625,-41.819496154785156,-103.17121124267578,-14.7029447555542
-66.88973236083984,-41.81944274902344,-103.16893005371094,-14.783622741699219
-66.89028930664062,-41.81938934326172,-103.16722106933594,-14.845457077026367
-66.89073181152344,-41.819374084472656,-103.16344451904297,-14.977802276611328
-66.89075469970703,-41.81931686401367,-103.15865325927734,-15.14872932434082
-66.89078521728516,-41.819305419921875,-103.14884185791016,-15.518672943115234
-66.89083099365234,-41.819297790527344,-103.14582061767578,-15.63135051727295
-66.89076232910156,-41.81930923461914,-103.14273834228516,-15.74345588684082
-66.8906021118164,-41.81896209716797,-103.13431549072266,-16.081493377685547
-66.89051818847656,-41.819297790527344,-103.1265869140625,-16.56783103942871
-66.89051818847656,-41.81919860839844,-103.12142944335938,-16.73919105529785
-66.8904800415039,-41.81922912597656,-103.11710357666016,-16.905263900756836
-66.8904037475586,-41.81918716430664,-103.11172485351562,-17.09038734436035
-66.89029693603516,-41.81928634643555,-103.08919525146484,-17.776554107666016
-66.89021301269531,-41.81930160522461,-103.07585906982422,-18.325735092163086
-66.89036560058594,-41.81927490234375,-103.06964874267578,-18.505369186401367
-66.8903579711914,-41.819271087646484,-103.05783081054688,-18.801504135131836
-66.89043426513672,-41.81930160522461,-103.03372192382812,-19.43490219116211
-66.89088439941406,-41.819339752197266,-102.99002075195312,-20.645376205444336
-66.89093780517578,-41.81932830810547,-102.96498107910156,-21.081117630004883
-66.89094543457031,-41.81932067871094,-102.9068832397461,-21.958585739135742
-66.89093780517578,-41.81932067871094,-102.82565307617188,-22.74463653564453
-66.89122009277344,-41.81930923461914,-102.75721740722656,-23.334083557128906
-66.89130401611328,-41.81930160522461,-102.64520263671875,-24.221181869506836
-66.8914566040039,-41.81926727294922,-102.53575134277344,-24.982635498046875
-66.89187622070312,-41.81928253173828,-102.38853454589844,-26.02821922302246
-66.89179229736328,-41.81919860839844,-102.267822265625,-26.77401351928711
-66.89176177978516,-41.81920623779297,-102.20137786865234,-27.177858352661133
-66.89179992675781,-41.81919479370117,-102.06487274169922,-27.9919376373291
-66.8918228149414,-41.81926345825195,-101.9261245727539,-28.78798484802246
-66.89168548583984,-41.81926345825195,-101.8154296875,-29.337724685668945
-66.89168548583984,-41.819183349609375,-101.54615783691406,-30.575443267822266
-66.89148712158203,-41.81926345825195,-101.45919036865234,-30.930458068847656
-66.8917236328125,-41.819271087646484,-101.32886505126953,-31.427040100097656
-66.89180755615234,-41.81926727294922,-101.14593505859375,-32.08132553100586
-66.89183807373047,-41.81920623779297,-100.98908996582031,-32.64432144165039
-66.89164733886719,-41.81924057006836,-100.72350311279297,-33.57646179199219
-66.8916015625,-41.819252014160156,-100.627197265625,-33.882957458496094
-66.8915023803711,-41.819271087646484,-100.35338592529297,-34.6876335144043
-66.89142608642578,-41.819271087646484,-100.06560516357422,-35.50851821899414
-66.89146423339844,-41.81926345825195,-99.94618225097656,-35.819942474365234
-66.89147186279297,-41.81926345825195,-99.60780334472656,-36.64276123046875
-66.89179992675781,-41.81928634643555,-99.38601684570312,-37.13992691040039
-66.8919677734375,-41.81927490234375,-99.24910736083984,-37.44841003417969
-66.89209747314453,-41.819183349609375,-98.80399322509766,-38.44806671142578
-66.89197540283203,-41.81922912597656,-98.52832794189453,-39.02227783203125
