benign_rotation,replay_rotation
-102.10433197021484,-89.35775756835938
-102.10730743408203,-89.35775756835938
-102.1099624633789,-89.35775756835938
-102.11085510253906,-89.35775756835938
-102.10628509521484,-89.35775756835938
-102.10245513916016,-89.35775756835938
-102.10014343261719,-89.35775756835938
-102.10630798339844,-89.35775756835938
-102.10681915283203,-89.35775756835938
-102.10358428955078,-89.35775756835938
-102.10643005371094,-89.35775756835938
-102.11152648925781,-89.35775756835938
-102.11205291748047,-89.31854248046875
-102.11213684082031,-89.229248046875
-102.11087799072266,-89.1270751953125
-102.11207580566406,-89.04985809326172
-102.11061096191406,-89.00338745117188
-102.12895965576172,-88.9144287109375
-102.12080383300781,-88.8174057006836
-102.1159896850586,-88.70262908935547
-102.11006927490234,-88.6763916015625
-102.10881042480469,-88.65289306640625
-102.1113052368164,-88.63988494873047
-102.11170959472656,-88.78206634521484
-102.10829162597656,-88.70632934570312
-102.10444641113281,-88.67613983154297
-102.10896301269531,-88.62338256835938
-102.10694122314453,-88.39055633544922
-102.11036682128906,-88.49104309082031
-102.11256408691406,-88.42135620117188
-102.10981750488281,-88.23634338378906
-102.10939025878906,-88.03408813476562
-102.10658264160156,-87.85680389404297
-102.10472106933594,-87.41465759277344
-102.10435485839844,-86.5834732055664
-102.11763000488281,-84.96309661865234
-102.11061096191406,-84.0205078125
-102.1043930053711,-83.02842712402344
-102.11124420166016,-82.14805603027344
-102.10926818847656,-81.84911346435547
-102.11063385009766,-81.14237213134766
-102.10652923583984,-80.8922119140625
-102.12477111816406,-80.56539154052734
-102.11656951904297,-80.22843933105469
-102.11128997802734,-79.42677307128906
-102.10295867919922,-77.8050308227539
-102.10398864746094,-77.16532135009766
-102.10665130615234,-76.1634521484375
-102.10665130615234,-74.91751098632812
-102.10398864746094,-74.46505737304688
-102.1089859008789,-74.0409927368164
-102.1083755493164,-73.56600189208984
-102.10862731933594,-71.920654296875
-102.10196685791016,-70.93807220458984
-102.10353088378906,-70.29287719726562
-102.10527038574219,-68.34345245361328
-102.0954818725586,-67.02802276611328
-102.09711456298828,-66.53995513916016
-102.09883117675781,-65.85774230957031
-102.10353088378906,-64.96034240722656
-102.10724639892578,-63.22136306762695
-102.10456085205078,-62.626068115234375
-102.10169219970703,-62.1008415222168
-102.10060119628906,-61.290740966796875
-102.10340118408203,-60.43655014038086
-102.10646057128906,-59.92938232421875
-102.11006164550781,-59.12748336791992
-102.1130142211914,-58.34776306152344
