['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000BA', '[8]', '00', '40', '2D', '01', '00', '00', '00', '00']
['vcan0', '000001A0', '[8]', '02', '10', '00', '00', '00', '02', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '05', '01', '01', '01', '01', '00', '00', '09']
['vcan0', '000000BA', '[8]', '00', '40', '32', '01', '00', '00', '00', '00']
['vcan0', '000001A0', '[8]', '01', '10', '00', '00', '00', '01', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '05', '01', '01', '01', '01', '00', '00', '09']
['vcan0', '000000BA', '[8]', '00', '80', '8E', '00', '00', '00', '00', '00']
['vcan0', '000001A0', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '05', '01', '01', '01', '01', '00', '00', '09']
['vcan0', '000000BA', '[8]', '00', '00', '7D', '00', '00', '00', '00', '00']
['vcan0', '000001A0', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '05', '01', '01', '01', '01', '00', '00', '09']
['vcan0', '000000BA', '[8]', '00', '00', 'E6', '00', '00', '00', '00', '00']
['vcan0', '000001A0', '[8]', '00', '10', '00', '00', '00', '00', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '05', '01', '01', '01', '01', '00', '00', '09']
['vcan0', '000000BA', '[8]', '00', 'C0', '53', '00', '00', '00', '00', '00']
['vcan0', '000001A0', '[8]', '00', '10', '00', '00', '00', '00', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '05', '01', '01', '01', '01', '00', '00', '09']
['vcan0', '000000BA', '[8]', '00', '00', '55', '00', '00', '00', '00', '00']
['vcan0', '000001A0', '[8]', '04', '00', '00', '00', '00', '04', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '05', '01', '01', '01', '01', '00', '00', '09']
['vcan0', '000000BA', '[8]', '00', '40', '1F', '00', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '05', '10', '00', '00', '00', '05', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '01', '00', '00', '00', '00', '00', '00', '01']
['vcan0', '000000BA', '[8]', '00', 'C0', 'D0', '00', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '05', '10', '00', '00', '00', '05', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '01', '00', '00', '00', '00', '00', '00', '01']
['vcan0', '000000BA', '[8]', '00', '40', '7E', '00', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '07', '00', '00', '00', '00', '07', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '05', '01', '01', '01', '01', '00', '00', '09']
['vcan0', '000000BA', '[8]', '00', '00', '32', '00', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '08', '10', '00', '00', '00', '08', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', 'FE', '00', '00', '00', '00', '00', '00', 'FE']
['vcan0', '000000BA', '[8]', '00', 'C0', '02', '01', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '08', '10', '00', '00', '00', '08', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', 'FE', '00', '00', '00', '00', '00', '00', 'FE']
['vcan0', '000000BA', '[8]', '00', '40', '3C', '01', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '0A', '00', '00', '00', '00', '0A', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '05', '01', '01', '01', '01', '00', '00', '09']
['vcan0', '000000BA', '[8]', '00', '40', '0A', '01', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '0A', '00', '00', '00', '00', '0A', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '05', '01', '01', '01', '01', '00', '00', '09']
['vcan0', '000000BA', '[8]', '00', '40', 'B5', '00', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '09', '00', '00', '00', '00', '09', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '05', '01', '01', '01', '01', '00', '00', '09']
['vcan0', '000000BA', '[8]', '00', 'C0', '02', '01', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '08', '10', '00', '00', '00', '08', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', 'F8', 'FE', 'FE', 'FE', 'FE', '00', '00', 'F0']
['vcan0', '000000BA', '[8]', '00', '00', '50', '00', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '08', '00', '00', '00', '00', '08', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '01', '00', '00', '00', '00', '00', '00', '01']
['vcan0', '000000BA', '[8]', '00', '40', '00', '01', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '07', '10', '00', '00', '00', '07', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', 'F9', 'FE', 'FE', 'FE', 'FE', '00', '00', 'F1']
['vcan0', '000000BA', '[8]', '00', '40', '1F', '00', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '07', '10', '00', '00', '00', '07', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', 'FB', 'FF', 'FF', 'FF', 'FF', '00', '00', 'F7']
['vcan0', '000000BA', '[8]', '00', '40', '00', '01', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '0A', '00', '00', '00', '00', '0A', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '01', '00', '00', '00', '00', '00', '00', '01']
['vcan0', '000000BA', '[8]', '00', '40', 'F6', '00', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '0A', '10', '00', '00', '00', '0A', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '02', '00', '00', '00', '00', '00', '00', '02']
['vcan0', '000000BA', '[8]', '00', '80', '33', '01', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '0A', '10', '00', '00', '00', '0A', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '01', '00', '00', '00', '00', '00', '00', '01']
['vcan0', '000000BA', '[8]', '00', 'C0', '8A', '00', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '0C', '00', '00', '00', '00', '0C', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '05', '01', '01', '01', '01', '00', '00', '09']
['vcan0', '000000BA', '[8]', '00', '40', '01', '00', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '0C', '10', '00', '00', '00', '0C', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '04', '01', '01', '01', '01', '00', '00', '08']
['vcan0', '000000BA', '[8]', '00', '40', 'DD', '00', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '0D', '10', '00', '00', '00', '0D', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '08', '02', '02', '02', '02', '00', '00', '10']
['vcan0', '000000BA', '[8]', '00', '00', '3B', '01', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '0F', '00', '00', '00', '00', '0F', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', 'FE', '00', '00', '00', '00', '00', '00', 'FE']
['vcan0', '000000BA', '[8]', '00', '40', '2D', '01', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '0F', '00', '00', '00', '00', '0F', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', 'FE', '00', '00', '00', '00', '00', '00', 'FE']
['vcan0', '000000BA', '[8]', '00', '40', '23', '01', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '0D', '00', '00', '00', '00', '0D', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '05', '01', '01', '01', '01', '00', '00', '09']
['vcan0', '000000BA', '[8]', '00', '40', '15', '00', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '0B', '10', '00', '00', '00', '0B', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '0E', '03', '03', '03', '03', '00', '00', '1A']
['vcan0', '000000BA', '[8]', '00', '40', 'BF', '00', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '0B', '00', '00', '00', '00', '0B', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '05', '01', '01', '01', '01', '00', '00', '09']
['vcan0', '000000BA', '[8]', '00', '00', '0A', '00', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '0A', '10', '00', '00', '00', '0A', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '0C', '03', '03', '03', '03', '00', '00', '18']
['vcan0', '000000BA', '[8]', '00', '80', 'CF', '00', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '0B', '10', '00', '00', '00', '0B', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '07', '01', '02', '01', '02', '00', '00', '0D']
['vcan0', '000000BA', '[8]', '00', 'C0', '39', '01', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '0E', '00', '00', '00', '00', '0E', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '05', '01', '01', '01', '01', '00', '00', '09']
['vcan0', '000000BA', '[8]', '00', 'C0', '58', '00', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '0E', '10', '00', '00', '00', '0E', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '07', '02', '02', '02', '02', '00', '00', '0F']
['vcan0', '000000BA', '[8]', '00', '40', '05', '01', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '0E', '10', '00', '00', '00', '0E', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '0A', '02', '02', '02', '02', '00', '00', '12']
['vcan0', '000000BA', '[8]', '00', 'C0', '8F', '00', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '11', '00', '00', '00', '00', '11', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
