benign_locationx,benign_locationy,replay_locationx,replay_locationy
-103.17900085449219,-14.434906959533691,-103.17900085449219,-14.434906959533691
-103.17900085449219,-14.434906959533691,-103.17900085449219,-14.434906959533691
-103.17900085449219,-14.434906959533691,-103.17900085449219,-14.434906959533691
-103.17900085449219,-14.434906959533691,-103.17900085449219,-14.434906959533691
-103.17900085449219,-14.434906959533691,-103.17900085449219,-14.434906959533691
-103.17900085449219,-14.434906959533691,-103.17900085449219,-14.434906959533691
-103.17900085449219,-14.434906959533691,-103.17900085449219,-14.434906959533691
-103.17900085449219,-14.434906959533691,-103.17900085449219,-14.434906959533691
-103.17900085449219,-14.434906959533691,-103.17900085449219,-14.434906959533691
-103.17900085449219,-14.434906959533691,-103.17900085449219,-14.434906959533691
-103.17900085449219,-14.434906959533691,-103.17900085449219,-14.434906959533691
-103.17900085449219,-14.434906959533691,-103.17900085449219,-14.434906959533691
-103.17900085449219,-14.434906959533691,-103.17900085449219,-14.434906959533691
-103.17900085449219,-14.434906959533691,-103.17900085449219,-14.434906959533691
-103.17900085449219,-14.434906959533691,-103.17900085449219,-14.434906959533691
-103.17900085449219,-14.434906959533691,-103.17900085449219,-14.434906959533691
-103.17900085449219,-14.434906959533691,-103.17900085449219,-14.434906959533691
-103.17900085449219,-14.434906959533691,-103.17900085449219,-14.434906959533691
-103.17889404296875,-14.438621520996094,-103.17900085449219,-14.434906959533691
-103.17840576171875,-14.454587936401367,-103.17900085449219,-14.434906959533691
-103.17776489257812,-14.475899696350098,-103.17900085449219,-14.434906959533691
-103.17697143554688,-14.500739097595215,-103.17900085449219,-14.434906959533691
-103.1757583618164,-14.540484428405762,-103.17900848388672,-14.434928894042969
-103.17459869384766,-14.579842567443848,-103.17877960205078,-14.442642211914062
-103.1729965209961,-14.636099815368652,-103.17823028564453,-14.458640098571777
-103.17086029052734,-14.709908485412598,-103.17753601074219,-14.481207847595215
-103.16948699951172,-14.75859546661377,-103.17678833007812,-14.507783889770508
-103.16780853271484,-14.817353248596191,-103.1759262084961,-14.538572311401367
-103.16624450683594,-14.87220573425293,-103.17491149902344,-14.57207202911377
-103.16380310058594,-14.958633422851562,-103.17386627197266,-14.60814380645752
-103.16180419921875,-15.0303955078125,-103.17272186279297,-14.647604942321777
-103.15989685058594,-15.098176002502441,-103.17156982421875,-14.687872886657715
-103.15767669677734,-15.177593231201172,-103.17035675048828,-14.730385780334473
-103.15541076660156,-15.25867748260498,-103.1690902709961,-14.774993896484375
-103.15328216552734,-15.33545970916748,-103.16763305664062,-14.825972557067871
-103.15095520019531,-15.4179048538208,-103.16609954833984,-14.879603385925293
-103.14771270751953,-15.53304386138916,-103.16465759277344,-14.930883407592773
-103.14097595214844,-15.775318145751953,-103.16251373291016,-15.006881713867188
-103.13809204101562,-15.944039344787598,-103.16058349609375,-15.075374603271484
-103.13351440429688,-16.154544830322266,-103.1586685180664,-15.143792152404785
